# JD          x_km               y_km                z_km      vx_km_s        vy_km_s         vz_km_s
2458508.250 +1.81296305e+09 -5.81317154e+09 -2.27863776e+09 +5.46828215e+00 -1.20976709e+01 -4.69067925e+00
2458508.500 +1.81308116e+09 -5.81343285e+09 -2.27873908e+09 +5.46826320e+00 -1.20976101e+01 -4.69065544e+00
2458508.750 +1.81319927e+09 -5.81369415e+09 -2.27884040e+09 +5.46824426e+00 -1.20975494e+01 -4.69063164e+00
2458509.000 +1.81331739e+09 -5.81395546e+09 -2.27894172e+09 +5.46822532e+00 -1.20974887e+01 -4.69060783e+00
2458509.250 +1.81343550e+09 -5.81421676e+09 -2.27904303e+09 +5.46820644e+00 -1.20974280e+01 -4.69058412e+00
2458509.500 +1.81355362e+09 -5.81447807e+09 -2.27914435e+09 +5.46818750e+00 -1.20973673e+01 -4.69056032e+00
2458509.750 +1.81367173e+09 -5.81473937e+09 -2.27924566e+09 +5.46816856e+00 -1.20973066e+01 -4.69053653e+00
2458510.000 +1.81378984e+09 -5.81500067e+09 -2.27934698e+09 +5.46814963e+00 -1.20972459e+01 -4.69051273e+00
2458510.250 +1.81390795e+09 -5.81526197e+09 -2.27944829e+09 +5.46813070e+00 -1.20971852e+01 -4.69048894e+00
2458510.500 +1.81402606e+09 -5.81552327e+09 -2.27954961e+09 +5.46811176e+00 -1.20971245e+01 -4.69046515e+00
2458510.750 +1.81414417e+09 -5.81578457e+09 -2.27965092e+09 +5.46809283e+00 -1.20970638e+01 -4.69044137e+00
2458511.000 +1.81426229e+09 -5.81604586e+09 -2.27975224e+09 +5.46807390e+00 -1.20970032e+01 -4.69041758e+00
2458511.250 +1.81438040e+09 -5.81630716e+09 -2.27985355e+09 +5.46805497e+00 -1.20969425e+01 -4.69039380e+00
2458511.500 +1.81449851e+09 -5.81656845e+09 -2.27995486e+09 +5.46803605e+00 -1.20968818e+01 -4.69037002e+00
2458511.750 +1.81461661e+09 -5.81682974e+09 -2.28005617e+09 +5.46801712e+00 -1.20968212e+01 -4.69034624e+00
2458512.000 +1.81473472e+09 -5.81709103e+09 -2.28015748e+09 +5.46799820e+00 -1.20967605e+01 -4.69032247e+00
2458512.250 +1.81485283e+09 -5.81735232e+09 -2.28025879e+09 +5.46797927e+00 -1.20966999e+01 -4.69029870e+00
2458512.500 +1.81497094e+09 -5.81761361e+09 -2.28036010e+09 +5.46796035e+00 -1.20966392e+01 -4.69027493e+00
2458512.750 +1.81508905e+09 -5.81787490e+09 -2.28046141e+09 +5.46794144e+00 -1.20965785e+01 -4.69025125e+00
2458513.000 +1.81520716e+09 -5.81813618e+09 -2.28056272e+09 +5.46792252e+00 -1.20965179e+01 -4.69022748e+00
